"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ulaE",26.3969430719404,1.46877090962092,0.487681435126558,3.0117425102306,0.0025975282799868,0.00332068015313512
"malL_2",5254.12924642886,1.462928707254,0.0559721076988123,26.1367450217539,1.39438257446951e-150,8.53725422989378e-150
"yqiK",5748.87589221835,1.45961486318753,0.0597088454564873,24.445538211775,5.61340516947829e-132,3.12551270412067e-131
"pyrP",2187.09301831682,1.45071382609818,0.129259127574949,11.2232989137034,3.13358607294159e-29,6.9548202007787e-29
"mfpA",319.388177221524,1.44327838162451,0.136486556780269,10.5745094291452,3.91219506480542e-26,8.34671256816964e-26
"araC_3",41.2468037323891,1.44264802878283,0.331357652589446,4.353748940183,1.3382896494254e-05,1.86939410820087e-05
"msrB",3561.04966389825,1.43737338698609,0.0590073963903731,24.3592070640927,4.63104848965095e-131,2.5518674091249e-130
"yhaO",1852.64692242982,1.437076504687,0.0762602395263356,18.8443743897595,3.26806159380792e-79,1.24638721405849e-78
"pyrE",2768.68412166079,1.43688215398984,0.104525650261176,13.7466942362907,5.33103020044502e-43,1.39655512464117e-42
"potA_2",299.541200471659,1.42748966597325,0.128044080820031,11.1484237055801,7.28860783108013e-29,1.60209013948639e-28
"walR_2",19.960428358418,1.42310580014189,0.522194525348361,2.72524075045124,0.00642546153646268,0.00805324512569989
"araQ_1",129.913422173911,1.42046561132865,0.199688406712837,7.11341051146428,1.13209901035932e-12,1.92661791113332e-12
"fruA_3",27.7183859746893,1.42036254864564,0.446474080214742,3.18128780950169,0.00146621887405554,0.00189258300544487
"manX_5",14493.1739183383,1.41350278835442,0.0623761034229867,22.6609664725149,1.0876740968247e-113,5.43157252101836e-113
"gltC_2",481.442164660032,1.40643349318116,0.1208381064156,11.6389898426908,2.61089530305229e-31,5.94332007731845e-31
"phoP",2360.10236607724,1.39744987191039,0.0713127660419356,19.5960688313313,1.67040876795389e-85,6.70681711354351e-85
"ytpP",3861.50093822209,1.39597926158444,0.0671152384085275,20.7997363145337,4.351948371367e-96,1.87450498583409e-95
"yumC",1300.8680621848,1.39551593353224,0.0771219861505558,18.094916938575,3.49470411481392e-73,1.27500848755083e-72
"pezT",3574.91378814743,1.39550126802964,0.058637346719226,23.7988474258861,3.43281581740378e-125,1.84081868329236e-124
"bglF_1",361.782520006413,1.39031106227225,0.134920765900882,10.3046484578484,6.7136687155716e-25,1.40608684239625e-24
"pstC1",3919.48970445108,1.37898389106677,0.0687696208853913,20.0522247078391,1.93017801236971e-89,7.92911173204834e-89
"csp",4413.72695456656,1.37861306363949,0.0615780255703979,22.3880686473686,5.14400350254261e-111,2.49851598694927e-110
"hypBA2",6928.6179149286,1.37514965126541,0.0634839286755662,21.6613823365138,4.74772196052036e-104,2.17388529882852e-103
"mtlA_3",132.466252453028,1.36905003683064,0.202404302695493,6.76393741930629,1.34291108508059e-11,2.23074003530018e-11
"czcD",672.256543183289,1.36585523662985,0.0944026989603876,14.4683918115835,1.91906774707247e-47,5.25114770517434e-47
"pepA",8976.61712143756,1.34833084410503,0.0544675582810805,24.7547510234799,2.75579067471929e-135,1.57276910650051e-134
"ponA_2",22880.3399092868,1.34649262979974,0.0470687161752468,28.6069546657372,5.50540124811064e-180,3.80849835258909e-179
"guaB",39113.8799077606,1.34187792277168,0.0546058306162148,24.573894538896,2.40258624977671e-133,1.35665470923787e-132
"ogt",2141.0888602564,1.33436837614992,0.0713643172487642,18.6979771907371,5.14186018508514e-78,1.94708354875973e-77
"xerD_1",444.267173986277,1.32783869617096,0.127634243143888,10.4034674665954,2.39071869240589e-25,5.04006394520397e-25
